utt_id,maya,spanish,spk_id,start,end
cKlAnBXWBcg_0018,pu'uch,espalda,spk_002,00:02:14.650,00:02:16.550
cKlAnBXWBcg_0019,báat k'ab,omóplato,spk_002,00:02:25.750,00:02:28.150
cKlAnBXWBcg_0020,t'o'olol paach,columna vertebral,spk_002,00:02:34.000,00:02:36.750
cKlAnBXWBcg_0021,tuuch,ombligo,spk_002,00:02:42.500,00:02:44.550
cKlAnBXWBcg_0022,chuun nak',comienzo inferior del abdomen,spk_002,00:02:50.150,00:02:52.050
cKlAnBXWBcg_0023,kúuk,codo,spk_002,00:02:57.900,00:02:59.650
cKlAnBXWBcg_0024,t'e'et',cadera,spk_002,00:03:04.600,00:03:06.350
cKlAnBXWBcg_0025,kaal k'ab,muñeca de la mano,spk_002,00:03:11.050,00:03:13.050
cKlAnBXWBcg_0026,táan k'ab,palma de la mano,spk_002,00:03:18.950,00:03:20.950
cKlAnBXWBcg_0027,ch'ilbil k'ab,dedos de la mano,spk_002,00:03:26.850,00:03:29.150
cKlAnBXWBcg_0028,aal k'ab,dedos de la mano,spk_002,00:03:31.050,00:03:33.150
cKlAnBXWBcg_0029,paach k'ab,dorso de la mano,spk_002,00:03:38.350,00:03:40.450
cKlAnBXWBcg_0030,u maamail k'ab,pulgar,spk_002,00:03:45.750,00:03:48.250
cKlAnBXWBcg_0031,tuuch'ub,dedo índice,spk_002,00:03:56.350,00:03:58.250
cKlAnBXWBcg_0032,chúumukil,dedo medio,spk_002,00:04:03.650,00:04:05.850
cKlAnBXWBcg_0033,ts'ipit,dedo anular,spk_002,00:04:10.850,00:04:12.750
cKlAnBXWBcg_0034,t'uup,dedo meñique,spk_002,00:04:18.250,00:04:20.149
cKlAnBXWBcg_0035,íich'ak,uña,spk_002,00:04:25.450,00:04:27.250
cKlAnBXWBcg_0036,oot',piel,spk_002,00:04:32.250,00:04:34.450
cKlAnBXWBcg_0037,tso'ots,pelo,spk_002,00:04:39.150,00:04:40.950
cKlAnBXWBcg_0038,bak'el iit,glúteo,spk_002,00:04:46.050,00:04:48.750
cKlAnBXWBcg_0039,p'u'uk iit,glúteo,spk_002,00:04:51.050,00:04:53.250
cKlAnBXWBcg_0040,muuk' ook,muslo,spk_002,00:04:58.750,00:05:01.250
cKlAnBXWBcg_0041,t'óon,pantorrilla,spk_002,00:05:11.850,00:05:13.850
cKlAnBXWBcg_0042,p'úulil ook,pantorrilla,spk_002,00:05:15.750,00:05:18.250
cKlAnBXWBcg_0043,tselek,canilla,spk_002,00:05:24.950,00:05:26.550
cKlAnBXWBcg_0044,kaal ook,tobillo,spk_002,00:05:31.550,00:05:34.050
cKlAnBXWBcg_0045,tu'uk' ook,tobillo,spk_002,00:05:36.550,00:05:38.850
cKlAnBXWBcg_0046,ook,pie,spk_002,00:05:44.850,00:05:46.550
cKlAnBXWBcg_0047,paach ook,empeine,spk_002,00:05:51.850,00:05:54.200
cKlAnBXWBcg_0048,ch'ilbil ook,dedos del pie,spk_002,00:05:59.150,00:06:01.450
cKlAnBXWBcg_0049,aak ook,dedos del pie,spk_002,00:06:04.550,00:06:06.950
cKlAnBXWBcg_0050,táan ook,planta del pie,spk_002,00:06:12.350,00:06:14.550
cKlAnBXWBcg_0051,tuunkuy,talón del pie,spk_002,00:06:19.750,00:06:21.750
cKlAnBXWBcg_0052,táan ich,cara,spk_002,00:06:26.950,00:06:28.950
cKlAnBXWBcg_0053,ich,cara,spk_002,00:06:31.300,00:06:32.850
cKlAnBXWBcg_0054,xikin,oreja,spk_002,00:06:38.150,00:06:40.250
cKlAnBXWBcg_0055,le' xikin,pabellón de la oreja,spk_002,00:06:44.850,00:06:47.350
cKlAnBXWBcg_0056,táan pool,frente,spk_002,00:06:53.350,00:06:55.650
cKlAnBXWBcg_0057,táan jo'ol,frente,spk_002,00:06:57.550,00:06:59.750
cKlAnBXWBcg_0058,táan ich,frente,spk_002,00:07:01.350,00:07:03.450
cKlAnBXWBcg_0059,móojton,ceja,spk_002,00:07:10.250,00:07:12.450
cKlAnBXWBcg_0060,sóol ich,párpado,spk_002,00:07:17.350,00:07:19.650
cKlAnBXWBcg_0061,máatsab,pestaña,spk_002,00:07:24.850,00:07:26.850
cKlAnBXWBcg_0062,ich,ojo,spk_002,00:07:32.230,00:07:33.850
cKlAnBXWBcg_0063,ni',nariz,spk_002,00:07:38.700,00:07:40.250
cKlAnBXWBcg_0064,me'ex,barba,spk_002,00:07:45.200,00:07:47.350
cKlAnBXWBcg_0065,jool ni',fosas nasales,spk_002,00:07:51.850,00:07:54.150
cKlAnBXWBcg_0066,p'u'uk,mejilla,spk_002,00:07:58.950,00:08:01.050
cKlAnBXWBcg_0067,chi',boca,spk_002,00:08:06.300,00:08:07.750
cKlAnBXWBcg_0068,booxel chi',labio,spk_002,00:08:13.350,00:08:15.650
cKlAnBXWBcg_0069,koj,diente,spk_002,00:08:20.750,00:08:22.250
cKlAnBXWBcg_0070,aak',lengua,spk_002,00:08:27.600,00:08:29.450
cKlAnBXWBcg_0071,tuux,hoyuelo,spk_002,00:08:34.250,00:08:36.150
cKlAnBXWBcg_0072,kama'ach,quijada,spk_002,00:08:41.450,00:08:43.450
cKlAnBXWBcg_0073,no'och',barbilla,spk_002,00:08:48.550,00:08:50.550
cKlAnBXWBcg_0074,neek' ich,pupila,spk_002,00:08:56.050,00:08:58.450
cKlAnBXWBcg_0075,suuy,remolino de la cabeza,spk_002,00:09:04.150,00:09:06.250
cKlAnBXWBcg_0076,aax,verruga,spk_002,00:09:12.950,00:09:14.850
J2egflaIFzk_0000,máaxen,¿quién soy?,spk_002,00:00:04.150,00:00:05.950
J2egflaIFzk_0001,bix a k'aaba',¿cómo te llamas?,spk_002,00:00:11.750,00:00:14.450
J2egflaIFzk_0002,tu'ux síijech,¿dónde naciste?,spk_002,00:00:47.500,00:00:49.750
J2egflaIFzk_0003,tu'ux a kaajal,¿de dónde eres?,spk_002,00:01:16.300,00:01:18.450
J2egflaIFzk_0004,tu'ux a taal,¿de dónde vienes?,spk_002,00:01:50.750,00:01:52.650
J2egflaIFzk_0005,tu'ux ka yantal,¿dónde vives?,spk_002,00:02:21.950,00:02:24.300
J2egflaIFzk_0006,tu'uxilech,¿de dónde eres?,spk_002,00:03:08.650,00:03:10.550
J2egflaIFzk_0007,wayileche',¿eres de aquí?,spk_002,00:03:35.500,00:03:37.500
J2egflaIFzk_0008,jayp'éel ja'ab yaan tech',¿cuántos años tienes?,spk_002,00:04:06.750,00:04:09.550
J2egflaIFzk_0009,ba'ax t'aanil a woojel,¿qué lengua hablas?,spk_002,00:04:39.250,00:04:42.450
J2egflaIFzk_0010,a woojel maaya,¿sabes maya?,spk_002,00:05:21.750,00:05:24.150
J2egflaIFzk_0011,in woojel maaya,sé maya,spk_002,00:05:32.050,00:05:34.450
J2egflaIFzk_0012,kin na'atik,si entiendo,spk_002,00:06:05.550,00:06:07.450
J2egflaIFzk_0013,ma',no,spk_002,00:06:10.250,00:06:11.550
J2egflaIFzk_0014,mix táan in na'atik,no entiend,spk_002,00:06:15.150,00:06:17.650
J2egflaIFzk_0015,ka t'anik maaya,¿hablas maya?,spk_002,00:06:24.650,00:06:27.150
J2egflaIFzk_0016,kin t'anik,si hablo,spk_002,00:06:36.150,00:06:37.850
J2egflaIFzk_0017,yaan a patk'aaba',¿tienes apodo?,spk_002,00:06:48.450,00:06:51.150
J2egflaIFzk_0018,bix u ya'ala'al tech,¿cómo te dicen?,spk_002,00:07:21.650,00:07:24.450
J2egflaIFzk_0019,ka meyaj,¿trabajas?,spk_002,00:07:43.550,00:07:45.250
J2egflaIFzk_0020,kin meyaj,si trabajo,spk_002,00:07:54.650,00:07:56.350
J2egflaIFzk_0021,chéen xoknáalen,soy estudiante,spk_002,00:08:02.850,00:08:05.250
J2egflaIFzk_0022,ba'ax meyajil ka meetik,¿qué trabajo haces?,spk_002,00:08:02.850,00:08:05.250
J2egflaIFzk_0023,jka'ansajen,soy maestro,spk_002,00:08:24.050,00:08:25.950
J2egflaIFzk_0024,mix táan in meyaj,no estoy trabajando,spk_002,00:08:30.750,00:08:33.249
J2egflaIFzk_0025,yaan,si,spk_002,00:08:50.420,00:08:52.150
J2egflaIFzk_0026,mina'an,no,spk_002,00:08:56.550,00:08:58.350
J2egflaIFzk_0027,ts'oka'an a beel,¿estás casado?,spk_002,00:09:04.200,00:09:06.750
J2egflaIFzk_0028,ts'oka'an in beel,estoy casado,spk_002,00:09:16.250,00:09:18.950
J2egflaIFzk_0029,mix ts'oka'an in beeli',no estoy casado,spk_002,00:09:25.750,00:09:28.850
J2egflaIFzk_0030,ba'ax ka xokik,¿qué estudias?,spk_002,00:09:34.550,00:09:36.950
J2egflaIFzk_0031,mix táan in xook,no estoy estudiando,spk_002,00:09:53.900,00:09:56.500
6STut51VHVU_0000,áakach,tábano,spk_003,00:00:14.870,00:00:16.050
6STut51VHVU_0001,áayim,cocodrilo,spk_004,00:00:19.250,00:00:20.550
6STut51VHVU_0002,baach,chachalaca,spk_003,00:00:24.400,00:00:25.750
6STut51VHVU_0003,báalam,jaguar,spk_004,00:00:29.950,00:00:31.550
6STut51VHVU_0004,baj,tusa,spk_003,00:00:35.200,00:00:36.550
6STut51VHVU_0005,ch'ejun,pájaro carpintero,spk_004,00:00:40.500,00:00:42.050
6STut51VHVU_0006,ch'ik,pulga,spk_003,00:00:46.500,00:00:47.750
6STut51VHVU_0007,ch'och'lim,zigarra,spk_004,00:00:51.350,00:00:52.950
6STut51VHVU_0008,ch'omak,zorro,spk_003,00:00:56.550,00:00:57.950
6STut51VHVU_0009,ch'amak,zorra,spk_003,00:00:57.650,00:00:58.850
6STut51VHVU_0010,chab,oso hormiguero,spk_004,00:01:03.100,00:01:04.349
6STut51VHVU_0011,chakts'íits'ib,cardenal,spk_003,00:01:08.650,00:01:10.450
6STut51VHVU_0012,chiiwol,tarántula,spk_004,00:01:14.350,00:01:15.850
6STut51VHVU_0013,chimes,cien pies,spk_003,00:01:19.750,00:01:21.350
6STut51VHVU_0014,i',gavilán,spk_004,00:01:25.280,00:01:26.450
6STut51VHVU_0015,k'áambul,faisal,spk_003,00:01:30.400,00:01:32.120
6STut51VHVU_0016,k'éek'en,cerdo,spk_004,00:01:35.950,00:01:37.550
6STut51VHVU_0017,k'i'ix paach ooch,puercoespín,spk_003,00:01:41.150,00:01:43.360
6STut51VHVU_0018,k'ili',perico,spk_004,00:01:47.400,00:01:48.890
6STut51VHVU_0019,k'oxol,mosco,spk_003,00:01:53.050,00:01:54.450
6STut51VHVU_0020,k'uuruch,cucaracha,spk_004,00:01:58.150,00:01:59.650
6STut51VHVU_0021,kaan,víbora,spk_003,00:02:03.650,00:02:04.950
6STut51VHVU_0022,kaax,gallina,spk_004,00:02:08.949,00:02:10.300
6STut51VHVU_0023,kéej,venado,spk_003,00:02:14.050,00:02:15.350
6STut51VHVU_0024,kisay,escarabajo,spk_004,00:02:18.850,00:02:20.550
6STut51VHVU_0025,kitam,jabalí,spk_003,00:02:24.650,00:02:26.000
6STut51VHVU_0026,koj,puma,spk_004,00:02:29.900,00:02:31.350
6STut51VHVU_0027,kóokay,luciérnaga,spk_003,00:02:35.150,00:02:36.500
6STut51VHVU_0028,kosom,golondrina,spk_004,00:02:40.350,00:02:42.050
6STut51VHVU_0029,kusam,golondrina,spk_004,00:02:41.550,00:02:42.950
6STut51VHVU_0030,ku'uk,ardilla,spk_003,00:02:46.550,00:02:47.950
6STut51VHVU_0031,kuuts ja',pato,spk_004,00:02:51.780,00:02:53.650
6STut51VHVU_0032,lúukumkaan,lombriz de tierra,spk_003,00:02:57.200,00:02:58.950
6STut51VHVU_0033,máas,grillo,spk_004,00:03:03.200,00:03:04.850
6STut51VHVU_0034,miis,gato,spk_003,00:03:08.650,00:03:10.150
6STut51VHVU_0035,mo',guacamalla,spk_004,00:03:13.800,00:03:15.250
6STut51VHVU_0036,muuch,rana,spk_003,00:03:19.450,00:03:20.850
6STut51VHVU_0037,peech,garrapata,spk_004,00:03:24.450,00:03:25.850
6STut51VHVU_0038,peek',perro,spk_003,00:03:29.900,00:03:31.350
6STut51VHVU_0039,péepen,mariposa,spk_004,00:03:34.950,00:03:36.300
6STut51VHVU_0040,síinik,hormiga,spk_003,00:03:40.300,00:03:41.850
6STut51VHVU_0041,soots',murciélago,spk_004,00:03:45.650,00:03:47.250
6STut51VHVU_0042,t'eel,gallo,spk_003,00:03:51.350,00:03:52.850
6STut51VHVU_0043,t'u'ul,conejo,spk_004,00:03:56.550,00:03:57.950
6STut51VHVU_0044,taman,borrego,spk_003,00:04:02.150,00:04:03.650
6STut51VHVU_0045,tooj,pájaro reloj,spk_004,00:04:07.650,00:04:09.190
6STut51VHVU_0046,ts'aajwayak',mantis religiosa,spk_003,00:04:14.500,00:04:16.300
6STut51VHVU_0047,tsíimin,caballo,spk_004,00:04:20.949,00:04:22.850
6STut51VHVU_0048,tso',pavo,spk_003,00:04:26.410,00:04:27.650
6STut51VHVU_0049,turix,libélula,spk_004,00:04:31.650,00:04:33.150
6STut51VHVU_0050,uk',piojo,spk_003,00:04:37.150,00:04:38.400
6STut51VHVU_0051,wech lu'um,cochinilla,spk_004,00:04:42.550,00:04:44.450
6STut51VHVU_0052,xooch',lechuza,spk_003,00:04:48.750,00:04:50.250
6STut51VHVU_0053,ya'axkach,lechuza,spk_004,00:04:54.250,00:04:56.150
6STut51VHVU_0054,yik'el kaab,abeja,spk_003,00:04:59.950,00:05:01.750
6STut51VHVU_0055,yúuyum,oropéndola,spk_004,00:05:05.650,00:05:07.250
qC4slX0zprw_0000,le missa',este gato,spk_002,00:05:40.150,00:05:42.950
qC4slX0zprw_0001,le misso',ese gato,spk_002,00:06:35.350,00:06:37.850
qC4slX0zprw_0002,le che'obo',esos árboles,spk_002,00:10:14.750,00:10:16.050
qC4slX0zprw_0003,le peek'o'oba',estos perros,spk_002,00:13:56.750,00:13:58.350
qC4slX0zprw_0004,in ti'al,mío,spk_002,00:20:05.650,00:20:07.150
qC4slX0zprw_0005,a ti'al,tuyo,spk_002,00:20:20.250,00:20:21.250
qC4slX0zprw_0006,u ti'al,suyo,spk_002,00:25:01.350,00:25:02.450
qC4slX0zprw_0007,le leeko' a ti'ale'ex,ese tortillero es de ustedes,spk_002,00:32:35.420,00:32:37.900
qC4slX0zprw_0008,a ti'ale'ex,son suyos,spk_002,00:34:46.699,00:34:47.958
qC4slX0zprw_0009,le ka'ap'éel leek'a,estos dos tortilleros,spk_002,00:34:47.858,00:34:49.800
qC4slX0zprw_0010,le t'eelo'obo',esos gallos,spk_002,00:36:26.400,00:36:27.900
qC4slX0zprw_0011,u ti'alo'ob,son suyos,spk_002,00:36:27.800,00:36:28.600
qC4slX0zprw_0012,le kaaxo'oba',estas gallinas,spk_002,00:36:34.700,00:36:36.900
qC4slX0zprw_0013,a ti'al,son tuyas,spk_002,00:36:37.050,00:36:38.350
qC4slX0zprw_0014,le p'aako',ese tomate,spk_002,00:36:59.750,00:37:01.450
qC4slX0zprw_0015,in ti'alo'on,es nuestro,spk_002,00:37:01.450,00:37:02.900
qC4slX0zprw_0016,in ti'al le ju'una',es mío este papel,spk_002,00:37:05.200,00:37:07.350
qC4slX0zprw_0017,le,esos,spk_002,00:37:14.100,00:37:14.800
qC4slX0zprw_0018,wakaxo',vacas,spk_002,00:37:14.900,00:37:16.150
qC4slX0zprw_0019,a ti'ale'ex,son de ustedes,spk_002,00:37:16.130,00:37:17.550
z_CahiwyrK4_0000,túumben kaaj,pueblo nuevo,spk_005,00:00:27.000,00:00:28.050
z_CahiwyrK4_0001,teetaane'ex,los elegidos,spk_005,00:00:27.850,00:00:29.350
z_CahiwyrK4_0002,bejla'e' tin kanik,estoy aprendiendo,spk_005,00:00:38.640,00:00:39.950
z_CahiwyrK4_0003,maayat'aan,maya yucateco,spk_005,00:00:39.850,00:00:40.600
z_CahiwyrK4_0004,ma'alob k'iin,buenos días,spk_005,00:02:53.050,00:02:54.350
z_CahiwyrK4_0005,ma'alob chíinil k'iin,buenas tardes,spk_005,00:02:55.750,00:02:57.380
z_CahiwyrK4_0006,ma'alob áak'ab,buenas noches,spk_005,00:02:58.050,00:02:59.950
z_CahiwyrK4_0007,bix a beel,¿cómo estás?,spk_005,00:03:02.140,00:03:02.750
z_CahiwyrK4_0008,ki'imak in wóol,estoy contenta,spk_005,00:03:38.150,00:03:39.750
z_CahiwyrK4_0009,ba'ax ka beetik,¿qué haces?,spk_005,00:04:08.750,00:04:09.850
z_CahiwyrK4_0010,tin meyaj,estoy trabajando,spk_005,00:04:11.500,00:04:12.850
z_CahiwyrK4_0011,bix a k'aaba',¿cómo te llamas?,spk_005,00:04:31.750,00:04:32.700
z_CahiwyrK4_0012,tu'ux a kaajal,¿de dónde eres?,spk_005,00:05:07.900,00:05:09.050
z_CahiwyrK4_0013,in kaajal,mi pueblo,spk_005,00:05:11.600,00:05:12.950
z_CahiwyrK4_0014,ni'ibóolal,gracias,spk_005,00:06:42.650,00:06:44.550
UHSQXsuiFU0_0000,jkaline',carlos,spk_001,00:00:26.750,00:00:28.050
UHSQXsuiFU0_0001,tia'an te'e kaaja',está en este pueblo,spk_001,00:00:27.850,00:00:29.650
UHSQXsuiFU0_0002,xkoonchae',concepción,spk_001,00:00:34.250,00:00:36.050
UHSQXsuiFU0_0003,tia'an te'e kaaja',está en este pueblo,spk_001,00:00:35.850,00:00:37.650
UHSQXsuiFU0_0004,in wíits'ine',mi hermanito,spk_001,00:00:42.650,00:00:44.550
UHSQXsuiFU0_0005,tia'an te'e kaaja',está en este pueblo,spk_001,00:00:44.350,00:00:46.450
oLqLnAWwI7M_0000,jo' kajakbalen,vivo en mérida,spk_001,00:00:18.450,00:00:20.550
oLqLnAWwI7M_0001,jo' kajakbalech,vives en mérida,spk_001,00:00:23.450,00:00:25.900
oLqLnAWwI7M_0002,jo' kajakbal in nool,mi abuelo vive en mérida,spk_006,00:00:39.750,00:00:42.500
oLqLnAWwI7M_0003,jo' kaja'an in chiich,mi abuela vive en mérida,spk_001,00:01:34.850,00:01:37.650
oLqLnAWwI7M_0004,jo' kaja'ano'on,vivimos en mérida,spk_006,00:01:49.450,00:01:51.950
mpMmC-vKBLE_0000,kin jóok'ol k'íiwik,salgo a la plaza,spk_001,00:00:23.350,00:00:25.150
mpMmC-vKBLE_0001,ka jóok'ol k'íiwik,sales a la plaza,spk_001,00:00:38.350,00:00:40.700
BoOhyyV7wh4_0000,a k'aj óol in wotoch,conoces mi casa,spk_001,00:03:31.550,00:03:33.850
BoOhyyV7wh4_0001,in k'aj óole'ex,los conozco a ustedes,spk_001,00:03:47.200,00:03:49.350
Nd26k5DZfRk_0000,weyilene',de aquí soy yo,spk_001,00:00:23.850,00:00:25.150
Nd26k5DZfRk_0001,weyileche',de aquí eres tú,spk_001,00:00:28.950,00:00:30.800
Nd26k5DZfRk_0002,weyile',ella es de aquí,spk_001,00:00:35.450,00:00:37.000
Nd26k5DZfRk_0003,weyilo'one',somos de aquí,spk_001,00:00:41.250,00:00:43.050
Nd26k5DZfRk_0004,weyilo'one'exe',somos de aquí,spk_001,00:00:50.150,00:00:52.350
Nd26k5DZfRk_0005,weyile'exe',son de aquí,spk_006,00:00:55.750,00:00:57.750
Nd26k5DZfRk_0006,weyilo'obe',son de aquí,spk_006,00:01:01.450,00:01:03.450
Nd26k5DZfRk_0007,tu'uxilech,¿de dónde eres?,spk_006,00:01:05.099,00:01:07.000
Nd26k5DZfRk_0008,tu'uxil,¿de dónde es?,spk_006,00:01:11.100,00:01:12.750
Nd26k5DZfRk_0009,tu'uxile'ex,¿de dónde son ustedes?,spk_006,00:01:16.950,00:01:18.950
Nd26k5DZfRk_0010,tu'uxile'ob,¿de dónde son ellos?,spk_001,00:01:23.550,00:01:25.350
Nd26k5DZfRk_0011,taalen xíimbal,vino de paseo,spk_001,00:01:29.850,00:01:32.150
